WS,WG,category,definition,gloss,uni_lemma
vb83,,action_words,شکست,break,break
vb84,,action_words,شنا( کردن),swim,swim
vb85,,action_words,شوت (کردن),shoot (a ball),kick
vb86,,action_words,صبر کن,wait,wait
vb87,,action_words,قلقلک (کردن),tickle,tickle
vb88,,action_words,فوت کن,blow,blow
vb89,,action_words,قایم شو,hide,hide
vb90,,action_words,کشیدم,draw / pull,draw
vb91,,action_words,کمک (کردن),help,help
vb92,,action_words,گاز ( گرفتن),bite,bite
vb93,,action_words,گریه کن,cry,cry
vb94,,action_words,گوش کن (گوش بده),listen,listen
vb95,,action_words,می خوانم,read,read
vb96,,action_words,میزنم,hit,hit
vb97,,action_words,نرو,stay,stay
vb98,,action_words,نشست,sit,sit
vb99,,action_words,نشستم,sit,sit
vb100,,action_words,نقاشی (کردن),paint,paint (action)
vb101,,action_words,نکن,stop,stop
vb102,,action_words,نگاه کن,look,look
vb103,,action_words,نگاه می کنم,look,look
vb104,,action_words,نیست,not be,
vb105,,action_words,نماز (خواندن),pray,
vb106,,action_words,هل داد,push,push
aux1,,helping_verbs,بود,(he) was,be
aux2,,helping_verbs,بودم,(I) was,be
aux3,,helping_verbs,بودند,(they) were,be
aux4,,helping_verbs,بودی,(you) were,be
aux5,,helping_verbs,بودیم,(we) were,be
aux6,,helping_verbs,دارم,(I) have,have
aux7,,helping_verbs,داری,(you) have,have
aux8,,helping_verbs,دارند,(he) has,have
aux9,,helping_verbs,دارید,(you) have,have
aux10,,helping_verbs,داریم,(we) have,have
aux11,,helping_verbs,می خواهم,(I) want,want
aux12,,helping_verbs,می خواهی,(you) want,want
aux13,,helping_verbs,می خواهیم,(we) want,want
aux14,,helping_verbs,نمی دهم,(I do) not give,
aux15,,helping_verbs,نمی دهد,(he does) not give,
aux16,,helping_verbs,نمی دهی,(you do) not give,
aux17,,helping_verbs,نمی دهید,(you do) not give,
aux18,,helping_verbs,نمی دهیم,(we do) not give,
aux19,,helping_verbs,نمی خواهم,(I do) not want,
aux20,,helping_verbs,نمی خواهی,(you do) not want,
aux21,,helping_verbs,نمی خواهیم,(we do) not want,
,S1,sounds,آخ,ouch,ouch
,S2,sounds,اَخ/ اَه/ کخ/گخ,ouch,ouch
,S3,sounds,بَه بَه / م...م,yum yum,yum yum
,S4,sounds,بع بع,baa baa,baa baa
,S5,sounds,بیب بیب,beep beep,beep beep
,S6,sounds,پیف,pew (bad smell),
,S7,sounds,جیز/اُخ/ اُخه,ouch,ouch
,S8,sounds,جیک جیک,chirp,
,S9,sounds,میو میو,meow meow,meow
,S10,sounds,وای,oops,
,S11,sounds,هاپ هاپ,woof woof,woof woof
,S12,sounds,هوهو چی چی,choo choo,choo choo
,N1,animals,آهو,gazelle,
,N6,animals,پرنده/ توتو,bird,bird
,N7,animals,پنگوئن,penguin,penguin
,N9,animals,حشره,insect,bug
,N19,animals,شیر,lion,lion
,N20,animals,غاز,goose,goose
,O2,vehicles,دوچرخه,bike,bicycle
,O5,vehicles,کشتی / قایق,ship/boat,boat
,P3,toys,تفنگ,gun,gun
,P5,toys,جغجغه,rattle,rattle (object)
,P8,toys,مکعب/ لگو,cube/lego,blocks
,F1,food_drink,آب,water,water (beverage)
,F2,food_drink,آب میوه,juice,juice
,F3,food_drink,آب نبات/ شکلات,candy/chocolate,candy
,F4,food_drink,آش,stew,
,F5,food_drink,برنج/ پلو,rice,rice
,F16,food_drink,شیر,lion,lion
,F23,food_drink,ماهی,fish,fish (food)
,F30,food_drink,هویج,carrots,carrot
,J5,clothing,تسبیح,rosary,
,J9,clothing,دامن,skirt,skirt
,J10,clothing,دمپایی,slippers,slipper
,K4,body_parts,بدن/ تن,body,body
,K5,body_parts,بینی,nose,nose
,K11,body_parts,دل/ شکم,belly,tummy
,K13,body_parts,سر / کله,head,head
,K16,body_parts,لب,lip,lip
,K17,body_parts,لُپ,cheek,cheek
,K19,body_parts,ناخن,nails,nail (body part)
,H1,furniture_rooms,اتاق خواب,bedroom,bedroom
,H2,furniture_rooms,آشپزخانه,kitchen,kitchen
,H3,furniture_rooms,آینه,mirror,mirror
,H4,furniture_rooms,بالش,pillow,pillow
,H6,furniture_rooms,پله/ راه پله,stairs,stairs
,H7,furniture_rooms,پرده,curtain,curtain
,H9,furniture_rooms,ختخواب/رختخواب/تخت,bed,bed
,H15,furniture_rooms,شیر آب,faucet,faucet
,H18,furniture_rooms,فرش,carpet,carpet
,H21,furniture_rooms,گاز,stove,stove
,H22,furniture_rooms,گهواره,cradle,cradle
,T1,household,آشغال,rubbish,trash
,T5,household,پستانک,pacifier,pacifier
,T7,household,تشت/ لگن,chamber pot / tub,
,T9,household,جارو/ جاروبرقی,vacuum cleaner,vacuum
,T10,household,جعبه,box,box
,T14,household,دارو/ دوا,medicine,medicine
,T17,household,سفره,tablecloth,tablecloth
,T21,household,شیشه شیر,bottle of milk,bottle
,T26,household,فنجان,cup,cup
,T28,household,قندان,sugar,sugar
,T32,household,گل/ گلدان,vase,vase
,T33,household,لامپ/ چراغ,lamps/lights,light (object)
,M1,outside,آتش,fire,fire
,M2,outside,آسمان,sky,sky
,M3,outside,الاکلنگ,seesaw,
,M4,outside,بازار,market,market
,M7,outside,باغچه,garden,garden
,M10,outside,پشت بام,rooftop,roof
,M12,outside,چرخ و فلک,carousel,carousel
,M17,outside,زیر زمین,basement,basement
,M21,outside,شهربازی,amusement park,
,M22,outside,فروشگاه/دکان/مغازه,shop,store
,E1,people,أقا/ مرد,man,man
,E2,people,آدم/ آدمها,man / woman,person
,E3,people,اسم خودکودک,child's own name,child's own name
,E5,people,برادر / داداش *,brother,brother
,E6,people,بچه,baby,baby
,E8,people,پدربزرگ*,grandpa,grandpa
,E10,people,خانم/ زن,woman,woman
,E11,people,خواهر/ آجی/آبجی,sister,sister
,E12,people,دایی,uncle,uncle
,E14,people,شوهر,husband,
,E18,people,مادربزرگ*,grandma,grandma
,E19,people,نوه,grandchild,
,E20,people,نی نی/ بِه بِه,baby,baby
,I1,games_routines,اتل متل توتوله,(traditional children's game),
,I2,games_routines,بله,yes,yes
,I3,games_routines,جیش,pee,pee
,I4,games_routines,چُرت/خواب/لالا,snooze/sleep,nap
,I5,games_routines,حمام کردن,take a bath,bath
,I6,games_routines,خداحافظی,goodbye,bye
,I7,games_routines,کلاغ پَر,(traditional children's game),
,I8,games_routines,دالّی/ داکّی,peekaboo,peekaboo
,I13,games_routines,صبر کردن(وایسا),wait,wait
,I14,games_routines,لی لی حوضک,(traditional children's game),
,I15,games_routines,مرسی/ممنون/متشکرم,thank you,thank you
,I16,games_routines,می خوام,I want,wanna
,I17,games_routines,ناهار,lunch,lunch
,I18,games_routines,نه,no,no
,I19,games_routines,هیس/ ش,hush,shh
,L1,action_words,آمدن,come,come
,L2,action_words,آوردن,bring,bring
,L3,action_words,آشتی کردن,reconcile,
,L4,action_words,افتادن,fall,fall
,L5,action_words,ایستادن,stand,stand
,L6,action_words,باز کردن,open,open (action)
,L7,action_words,بازی کردن,play,play
,L8,action_words,بردن,carry,carry
,L9,action_words,بستن,close,close
,L10,action_words,بوسیدن,kiss,kiss
,L11,action_words,پختن,cook,cook
,L12,action_words,پرت کردن,throw,throw
,L13,action_words,پریدن,jump,jump
,L14,action_words,تاب خوردن,swing,swing (action)
,L15,action_words,تکان دادن,shake,shake
,L16,action_words,تمیزکردن/پاک کردن,clean,clean (action)
,L17,action_words,ترسیدن,fear,be scared
,L18,action_words,جیغ کشیدن,squeal,
,L19,action_words,شانه کردن,comb,comb (action)
,L20,action_words,خاموش کردن,turn off,turn off
,L21,action_words,خجالت کشیدن,feel shy,
,L22,action_words,خندیدن,laugh,laugh
,L23,action_words,خوردن,eat,eat
,L24,action_words,خوردن (اصابت کردن),hit,hit
,L25,action_words,خواندن,read,read
,L26,action_words,خوابیدن,sleep,sleep
,L27,action_words,درد گرفتن,hurt,hurt
,L28,action_words,دعا کردن,pray,
,L29,action_words,دویدن,run,run
,L30,action_words,دوست داشتن,love,love
,L31,action_words,دیدن/نگاه کردن,see,see
,L32,action_words,رانندگی کردن,drive,drive
,L33,action_words,راه رفتن,walk,walk
,L34,action_words,رفتن,go,go
,L35,action_words,زمین خوردن,fall down,fall
,L36,action_words,سلام کردن,hello,hello
,L37,action_words,سینه زدن,pound on chest (done in mourning),
,L38,action_words,شناکردن,swim,swim
,L39,action_words,طبل زدن/ضربه زدن/کوبیدن,drum,drum
,L40,action_words,غذا دادن,feed,feed
,L41,action_words,قلقلک دادن,tickle,tickle
,L42,action_words,فوت کردن,blow,blow
,L43,action_words,قصه گفتن,tell a story,tell
,L44,action_words,کتک زدن,beat,hit
,L45,action_words,کشیدن,draw,draw
,L46,action_words,کمک کردن,help,help
,L47,action_words,گاز گرفتن,bite,bite
,L48,action_words,گریه کردن,cry,cry
,L49,action_words,لج کردن/قهر کردن,sulk,
,L50,action_words,لگد زدن,kick,kick
,L51,action_words,لمس کردن/ دست زدن,touch,touch
,L52,action_words,نانای کردن/ رقصیدن,dance,dance
,L53,action_words,نقاشی کردن,paint,paint (action)
,L54,action_words,نمازخواندن,pray,
,L55,action_words,نوشتن,write,write
,R2,time_words,امشب,tonight,tonight
,R3,time_words,بعداً,later,later
,R4,time_words,حالا,now,now
,W3,descriptive_words,بداخلاق,bad-tempered,
,W6,descriptive_words,پُر,full,full
,W8,descriptive_words,تر / خیس,wet,wet (description)
,W9,descriptive_words,تشنه,thirsty,thirsty
,W11,descriptive_words,تند/زود/سریع,fast,fast
,W14,descriptive_words,خاموش,off,off
,W15,descriptive_words,خراب,broken,broken
,W18,descriptive_words,خوب,good,good
,W21,descriptive_words,خوش اخلاق,well-behaved,good
,W25,descriptive_words,سخت/سفت,hard,hard
,W27,descriptive_words,سیر,full,full
,W31,descriptive_words,کم,little,little (amount)
,W35,descriptive_words,ناز/قشنگ,cute/beautiful,cute
,W37,descriptive_words,یواش/آهسته,slow,slow
,X1,pronouns,آن,that,that
,X3,pronouns,آنها,they,
,X5,pronouns,او,he / she,
,X10,pronouns,مالِ من/ منِ,mine,
,X11,pronouns,مال تو/ توئه,yours,
,X12,pronouns,مال اون/ اونه,his/hers,
,Y2,question_words,چطوری/چگونه/ چه جوری,how,how
,Y3,question_words,چی,what,what
,Y5,question_words,کی(چه کسی),who,who
,Y6,question_words,کجا/ کو,where,where (question)
,Z1,locations,آنجا,there,there
,Z2,locations,بالا,top,top
,Z3,locations,بیرون/ خارج,out,out
,Z4,locations,پائین,down,down
,Z5,locations,جلو,front,front
,Z6,locations,داخل/ دَر/ توی,in,in
,Z10,locations,عقب / پشت,back,back (location)
,C3,quantifiers,همان قدر,as much,
,C4,quantifiers,هیچکدام,none,none
,C5,quantifiers,هیچی(نه),nothing,nothing
,C6,quantifiers,یکی,one,one
,C7,quantifiers,همه,all,all
,C8,quantifiers,یه کمی/مقداری/ یه کم دیگه,a little (more),little (amount)
